[2025-01-01T05:55:30,062][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.ml-anomalies-] for index patterns [.ml-anomalies-*]
[2025-01-01T05:55:30,112][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.ml-state] for index patterns [.ml-state*]
[2025-01-01T05:55:30,176][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.ml-notifications-000002] for index patterns [.ml-notifications-000002]
[2025-01-01T05:55:30,228][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [search-acl-filter] for index patterns [.search-acl-filter-*]
[2025-01-01T05:55:30,328][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.monitoring-ent-search-mb] for index patterns [.monitoring-ent-search-8-*]
[2025-01-01T05:55:30,508][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.monitoring-beats-mb] for index patterns [.monitoring-beats-8-*]
[2025-01-01T05:55:30,735][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.monitoring-es-mb] for index patterns [.monitoring-es-8-*]
[2025-01-01T05:55:30,808][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [synthetics-mappings]
[2025-01-01T05:55:30,859][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [metrics-mappings]
[2025-01-01T05:55:31,028][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [ecs@dynamic_templates]
[2025-01-01T05:55:31,054][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [synthetics-settings]
[2025-01-01T05:55:31,076][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [metrics-settings]
[2025-01-01T05:55:31,093][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [metrics-tsdb-settings]
[2025-01-01T05:55:31,141][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [logs-mappings]
[2025-01-01T05:55:31,176][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [data-streams-mappings]
[2025-01-01T05:55:31,226][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.kibana-reporting] for index patterns [.kibana-reporting*]
[2025-01-01T05:55:31,291][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.slm-history] for index patterns [.slm-history-5*]
[2025-01-01T05:55:31,427][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.watch-history-16] for index patterns [.watcher-history-16*]
[2025-01-01T05:55:31,576][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [ilm-history] for index patterns [ilm-history-5*]
[2025-01-01T05:55:31,645][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [.deprecation-indexing-mappings]
[2025-01-01T05:55:31,757][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding component template [.deprecation-indexing-settings]
[2025-01-01T05:55:31,767][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.fleet-fileds-fromhost-meta] for index patterns [.fleet-fileds-fromhost-meta-*]
[2025-01-01T05:55:31,807][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.fleet-fileds-tohost-data] for index patterns [.fleet-fileds-tohost-data-*]
[2025-01-01T05:55:31,841][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.fleet-fileds-fromhost-data] for index patterns [.fleet-fileds-fromhost-data-*]
[2025-01-01T05:55:31,876][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.fleet-fileds-tohost-meta] for index patterns [.fleet-fileds-tohost-meta-*]
[2025-01-01T05:55:32,876][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [elastic-connectors] for index patterns [.elastic-connectors-v1]
[2025-01-01T05:55:32,911][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [elastic-connectors-sync-jobs] for index patterns [.elastic-connectors-sync-jobs-v1]
[2025-01-01T05:55:32,946][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [synthetics] for index patterns [synthetics-*-*]
[2025-01-01T05:55:32,989][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [metrics] for index patterns [metrics-*-*]
[2025-01-01T05:55:33,037][INFO ][o.e.c.m.MetadataIndexTemplateService] [wsapp-node-1] adding index template [.deprecation-indexing-template] for index patterns [.logs-deprecation.*]
[2025-01-01T05:55:33,787][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [behavioral_analytics-events-default_policy]
[2025-01-01T05:55:34,686][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [.monitoring-8-ilm-policy]
[2025-01-01T05:55:35,452][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [ml-size-based-ilm-policy]
[2025-01-01T05:55:36,004][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [metrics]
[2025-01-01T05:55:36,740][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [logs]
[2025-01-01T05:55:37,527][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [synthetics]
[2025-01-01T05:55:38,293][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [365-days-default]
[2025-01-01T05:55:39,293][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [30-days-default]
[2025-01-01T05:55:39,967][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [7-days-default]
[2025-01-01T05:55:40,722][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [180-days-default]
[2025-01-01T05:55:41,357][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [watch-history-ilm-policy-16]
[2025-01-01T05:55:41,906][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [90-days-default]
[2025-01-01T05:55:42,457][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [slm-history-ilm-policy]
[2025-01-01T05:55:42,955][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [ilm-history-ilm-policy]
[2025-01-01T05:55:43,672][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [.deprecation-indexing-ilm-policy]
[2025-01-01T05:55:44,323][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [.fleet-file-fromhost-meta-ilm-policy]
[2025-01-01T05:55:44,898][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [.fleet-actions-results-ilm-policy]
[2025-01-01T05:55:45,338][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [.fleet-file-tohost-meta-ilm-policy]
[2025-01-01T05:55:45,706][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [.fleet-file-fromhost-data-ilm-policy]
[2025-01-01T05:55:46,138][INFO ][o.e.x.i.a.TransportPutLifecycleAction] [wsapp-node-1] adding index lifecycle policy [.fleet-file-tohost-data-ilm-policy]
[2025-01-01T05:55:47,373][INFO ][o.e.h.n.s.HealthNodeTaskExecutor] [wsapp-node-1] Node [{wsapp-node-1}{Z6KwJ9ixRF6OP50gCIYmvw}] is selected as the current health node.
[2025-01-01T05:55:48,654][INFO ][o.e.l.ClusterStateLicenseService] [wsapp-node-1] license [cedf61ba-b4ce-4515-92e0-2efde6b6c617] mode [basic] - valid
[2025-01-01T05:55:49,158][INFO ][o.e.x.c.t.IndexTemplateRegistry] [wsapp-node-1] adding ingest pipeline behavioral_analytics-events-final_pipeline
[2025-01-01T05:55:49,158][INFO ][o.e.x.c.t.IndexTemplateRegistry] [wsapp-node-1] adding ingest pipeline ent-search-generic-ingestion
[2025-01-01T05:55:49,159][INFO ][o.e.x.c.t.IndexTemplateRegistry] [wsapp-node-1] adding ingest pipeline logs@json-message
